system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,OGC_0,OGC_0_53,OGC_1_03,OGC_1_57,OGC_2_10,OGC_2_60,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,lavouras,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
18_000000000000000019de_0,1,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1.4834329,29.571161,48.598156,55.58339,47.08769,27.0171,0,0,8,0,0,1,1,1976,0,120,4,125.96,0,39.0476,11.84024,90,60,25,5.05448,12,-2,181.90231,ctb0667-A-E-27,0,72,3778,0,0,20,0,0,0,1,1,0,0,0,0,0,0,27.326878359572614,44.1421437047058,28.530977935721573,0,20,2,14,2,0,124,0,0,45,0,11,0,0,2,139,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.58339295218799,-1.4834329444307741]}"
18_000000000000000019e5_0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,2,0,1.5834154,29.470512,48.333347,55.216606,46.72109,26.744335,0,0,3,0,0,1,2,1976,0,119,7,78.49,0,7.849,6.35769,103,58,28,4.53238,-8,90,97.22907,ctb0667-A-E-33,0,28,276,0,0,20,0,0,0,1,1,0,0,0,0,0,0,16.106800186980355,53.347768227014356,30.54543158600529,0,20,0,14,0,0,133,0,-1,44,0,2,0,0,0,141,61,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.216610821681996,-1.5834154355532757]}"
18_000000000000000019e6_0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1.5165808,29.3197,48.14159,55.033348,46.597374,26.708578,0,0,4,0,0,3,0,1976,0,125,6,106.548996,0,10.65,8.63,105,52,38,6.15,-16,-18,131.979,ctb0667-A-E-34,0,103,2235,0,0,20,0,0,0,1,1,0,0,0,0,0,0,30.339348401300413,52.06513479160978,17.59551680708981,0,20,0,15,-7,0,159,0,3,50,0,16,0,0,7,148,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.03335450372161,-1.5165807784147844]}"
18_000000000000000019e7_0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,1.6001241,29.39161,48.184116,55.033348,46.554848,26.63667,0,0,4,0,0,3,3,1976,0,121,8,106.548996,0,10.65,8.63,92,76,28,6.15,-30,-4,131.979,ctb0667-A-E-35,0,41,3142,1,0,20,0,0,0,1,1,0,0,0,0,0,0,29.658327415775144,48.75445444026808,21.587218143956783,0,20,2,15,0,0,138,0,1,44,0,3,0,0,0,145,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.03335450372161,-1.600124099837899]}"
18_000000000000000019eb_0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,1.5165808,29.50627,48.45706,55.39986,46.912846,26.895147,0,0,4,0,0,4,0,1976,0,122,5,46.06,0,4.606,3.73086,89,62,28,2.65972,-13,-16,57.05658,ctb0667-A-E-39,-3,82,3149,4,0,20,0,0,0,1,1,0,0,0,0,0,0,30.88116749408117,25.25466174907578,43.864170756843045,0,20,4,16,1,0,135,0,7,41,0,14,2,0,3,144,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.399867139642375,-1.5165807784147844]}"
18_000000000000000019ec_0,1,1,0,0,0,0,0,48,0,0,0,0,1,0,0,1,0,0,1.5499982,29.832037,48.976276,55.98332,47.398037,27.163383,0,0,10,0,0,1,2,1976,0,118,29,70.5,0,21.855,6.627,102,73,24,2.829,-38,-11,101.811,ctb0667-A-E-4,0,28,5564,0,0,20,0,0,0,1,1,0,0,0,0,0,0,60.65751459990027,25.737348543026318,13.605136857073418,0,20,0,16,-2,0,123,0,0,40,0,7,0,0,2,185,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.983322916678006,-1.549998106984031]}"
18_000000000000000019f0_0,1,1,0,0,0,0,0,13,0,0,0,0,1,0,0,1,0,0,1.4667243,29.276787,48.11621,55.033348,46.622753,26.751492,0,0,4,0,0,2,3,1976,0,124,5,125.96,0,39.0476,11.84024,94,63,28,5.05448,6,-20,181.90231,ctb0667-A-E-47,4,86,2828,0,0,20,0,0,0,1,1,0,0,0,0,0,0,20.96105932759334,48.26124410614392,30.777696566262758,0,20,2,14,11,0,131,0,-4,44,0,35,0,0,12,146,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.03335450372161,-1.4667242801461509]}"
18_000000000000000019f2_0,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1.6833979,29.675373,48.585125,55.449986,46.871075,26.777075,0,0,9,0,0,2,0,1976,0,121,6,87.89,0,27.2459,8.26166,98,82,27,3.52682,-26,-17,126.92438,ctb0667-A-E-49,2,56,2949,2,0,20,0,0,0,1,1,0,0,0,0,0,0,14.400671402635043,76.77953161716403,8.81979698020093,0,20,2,14,-2,0,132,0,2,44,0,12,0,0,4,133,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.449993132496246,-1.683397926675779]}"
18_000000000000000019f5_0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1.5667068,29.379856,48.19587,55.066765,46.60062,26.682444,0,0,12,0,0,5,1,1976,0,125,14,10.34,0,1.034,0.83754,98,80,33,0.59708,1,-4,12.80862,ctb0667-A-E-52,0,44,4028,1,0,20,0,0,0,1,1,0,0,0,0,0,0,12.185930786484414,80.94405205364957,6.870017159866013,0,20,0,14,0,0,156,0,0,46,0,3,0,0,0,153,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.066771832290854,-1.5667067712686542]}"
18_000000000000000019f7_0,1,1,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1.4834329,29.715342,48.841953,55.866627,47.331482,27.161278,0,0,10,0,0,1,1,1976,0,122,5,99.64,0,30.8884,9.36616,95,70,25,3.99832,30,24,143.89288,ctb0667-A-E-54,0,25,2236,0,0,20,0,0,0,1,1,0,0,0,0,0,0,12.101573770289486,82.3838852203474,5.514541009363115,0,20,0,15,2,0,125,0,-2,40,0,8,0,0,3,164,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.86663176127088,-1.4834329444307741]}"
18_000000000000000019f8_0,1,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,1.3834505,29.637789,48.80544,55.883335,47.39676,27.255844,0,0,4,0,0,0,1,1976,0,121,16,119.38,0,37.0078,11.22172,99,66,25,4.79044,-30,-4,172.39996,ctb0667-A-E-55,0,49,3194,-1,0,20,0,0,0,1,1,0,0,0,0,0,0,13.005300372992235,76.53222973288949,10.462469894118268,0,20,-4,13,0,0,125,0,0,41,0,2,0,0,1,169,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.8833404255555,-1.3834504533082708]}"
18_000000000000000019f9_0,1,1,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,1.6499805,29.680494,48.62541,55.516552,46.94538,26.839724,0,0,15,0,0,2,0,1976,0,122,5,128.2769,0,39.77,12.06,89,53,28,5.15,32,-5,185.25691,ctb0667-A-E-56,1,99,2321,0,0,20,0,0,0,1,1,0,0,0,0,0,0,10.227610965303231,84.14229209073916,5.630096943957598,0,20,0,13,2,0,147,0,0,46,0,8,0,0,3,143,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.51655829504951,-1.6499805981065325]}"
18_000000000000000019fd_0,1,1,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,1.8666543,29.866993,48.735703,55.516552,46.835083,26.653223,0,0,13,0,0,0,1,1976,0,120,11,128.2769,0,39.77,12.06,81,55,30,5.15,-4,-13,185.25691,ctb0667-A-E-6,-1,90,2745,1,0,20,0,0,0,1,1,0,0,0,0,0,0,13.780049441693832,81.49807756328028,4.721872995025903,0,20,4,12,3,0,136,0,0,46,0,9,0,0,3,163,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.51655829504951,-1.8666542446361625]}"
18_000000000000000019ff_0,1,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1.6833979,29.84507,48.872066,55.78335,47.158016,26.94677,0,0,15,0,0,2,1,1976,0,119,6,128.2769,0,39.77,12.06,79,55,31,5.15,50,17,185.25691,ctb0667-A-E-61,-2,66,2489,0,0,20,0,0,0,1,1,0,0,0,0,0,0,10.497391607949897,82.46448530420112,7.03812308784898,0,20,0,12,0,0,141,0,-3,41,0,13,0,0,3,134,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.783357934433,-1.683397926675779]}"
18_00000000000000001a01_0,1,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1.4834329,29.69833,48.81319,55.83321,47.30272,27.144268,0,0,7,0,0,1,3,1976,0,122,5,74.26,0,23.0206,6.98044,99,57,23,2.97988,-40,-8,107.24092,ctb0667-A-E-64,-7,84,1761,0,0,20,0,0,0,1,1,0,0,0,0,0,0,11.387168334825608,81.7917482215469,6.82108344362749,0,20,0,15,-5,0,124,0,0,41,0,23,1,0,8,140,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.83321443270164,-1.4834329444307741]}"
18_00000000000000001a02_0,1,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1.6332719,29.793419,48.83217,55.766644,47.169147,26.981411,0,0,6,0,0,2,0,1976,0,123,6,128.2769,0,39.77,12.06,85,51,28,5.15,28,-2,185.25691,ctb0667-A-E-65,-4,63,1785,0,0,20,0,0,0,1,1,0,0,0,0,0,0,11.939613545435543,81.87226695109892,6.188119503465531,0,20,-2,11,2,0,134,0,-2,43,0,13,0,0,4,136,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.76664927014838,-1.6332719338219093]}"
18_00000000000000001a04_0,1,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,1.8499455,29.725443,48.512165,55.26673,46.62856,26.540436,0,0,12,0,0,3,1,1976,0,119,5,128.2769,0,39.77,12.06,93,48,28,5.15,-9,3,185.25691,ctb0667-A-E-67,2,91,2647,4,0,20,0,0,0,1,1,0,0,0,0,0,0,12.021036187984418,82.2608532433284,5.718110568687199,0,20,5,13,-7,0,137,0,-4,46,0,21,2,0,7,157,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.26673681453586,-1.8499455803515392]}"
18_00000000000000001a05_0,1,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,1.8167977,29.705416,48.509674,55.28344,46.659813,26.577473,0,0,13,0,0,2,0,1976,0,120,4,128.2769,0,39.77,12.06,79,70,30,5.15,-2,14,185.25691,ctb0667-A-E-68,1,88,1894,1,0,20,0,0,0,1,1,0,0,0,0,0,0,11.29248558253739,83.45121459236194,5.256299825100679,0,20,0,12,-2,0,140,0,1,47,0,12,0,0,3,146,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.28344547882048,-1.8167977463675289]}"
18_00000000000000001a06_0,1,1,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,1.8499455,29.708431,48.483402,55.233315,46.599792,26.523426,0,0,14,0,0,2,0,1976,0,118,5,15.04,0,4.6624,1.41376,90,66,28,0.60352,-14,-19,21.71968,ctb0667-A-E-69,-5,87,1907,0,0,20,0,0,0,1,1,0,0,0,0,0,0,11.895371429162124,82.09400364375841,6.010624927079455,0,20,-6,13,-3,0,135,0,3,46,0,17,0,0,6,176,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.23331948596662,-1.8499455803515392]}"
18_00000000000000001a07_0,1,1,0,0,0,1,0,28,0,0,0,0,0,0,0,2,0,0,1.8666543,29.48521,48.090145,54.76655,46.189526,26.271444,0,0,4,0,0,1,5,1976,0,121,9,55.8736,0,113.98,0.2,131,63,29,3.0,-5,12,173.0536,ctb0667-A-E-7,-1,17,3640,6,0,20,0,0,0,1,1,0,0,0,0,0,0,18.691129516732953,63.535013532808726,17.773856950458324,0,20,1,14,0,0,131,0,0,49,0,3,6,0,1,235,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.76655486433812,-1.8666542446361625]}"
18_00000000000000001a08_0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1.7666718,29.670639,48.49831,55.299877,46.69948,26.628986,0,0,8,0,0,3,1,1976,0,124,5,128.2769,0,39.77,12.06,96,75,36,5.15,-19,-12,185.25691,ctb0667-A-E-70,0,90,951,1,0,20,0,0,0,1,1,0,0,0,0,0,0,9.683506958529776,82.93972859739416,7.376764444076065,0,20,0,13,1,0,154,0,5,48,0,13,0,0,3,150,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.29988464851988,-1.7666717535136591]}"
18_00000000000000001a09_0,1,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,0,1.6165633,29.62635,48.565483,55.466698,46.91948,26.84311,0,0,8,0,0,2,1,1976,0,123,5,47.0,0,14.57,4.418,84,67,26,1.886,-63,10,67.874,ctb0667-A-E-71,-1,66,1590,0,0,20,0,0,0,1,1,0,0,0,0,0,0,11.091861012473615,81.19318025792315,7.7149587296032385,0,20,-1,14,-2,0,133,0,3,45,0,10,0,0,3,135,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.46670179678087,-1.616563269537286]}"
18_00000000000000001a0a_0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,1.5667068,29.41374,48.253162,55.13333,46.657917,26.716328,0,0,3,0,0,2,6,1976,0,122,10,88.83,0,8.883,7.19523,115,71,27,5.12946,39,100,110.03769,ctb0667-A-E-72,0,16,1968,0,0,20,0,0,0,1,1,0,0,0,0,0,0,16.88895658345809,59.918635761568964,23.19240765497295,0,20,0,13,1,0,138,0,0,42,0,4,0,0,1,178,131,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.133336994844115,-1.5667067712686542]}"
18_00000000000000001a0d_0,1,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1.6001241,29.476389,48.32747,55.199898,46.6982,26.721447,0,0,2,0,0,0,2,1976,0,122,12,116.56,0,11.656,9.44136,91,66,28,6.73072,16,-1,144.38808,ctb0667-A-E-75,-1,33,3616,0,0,20,0,0,0,1,1,0,0,0,0,0,0,16.55824495953664,59.83472069138022,23.60703434908315,0,20,-4,15,3,0,132,0,0,44,0,10,0,0,3,149,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.199902157397375,-1.600124099837899]}"
18_00000000000000001a12_0,1,0,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,1.4834329,28.883867,47.43601,54.23322,45.925545,26.329815,0,0,8,0,0,6,1,1976,0,122,6,5.64,0,1.2408,0.6204,74,159,37,0.91632,-4,-19,8.41752,ctb0667-A-E-8,8,162,3491,4,0,20,0,0,0,1,1,0,0,0,0,0,0,25.72453084710768,63.855571492040376,10.419897660851948,0,20,4,13,2,0,143,0,-3,52,0,22,2,0,8,187,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.23322508015635,-1.4834329444307741]}"
18_00000000000000001a16_0,1,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,1,0,1.3834505,29.595398,48.73376,55.80006,47.325085,27.213453,0,0,2,0,0,0,0,1976,0,122,5,120.32,0,37.2992,11.31008,99,59,25,4.82816,20,8,173.75745,ctb0667-A-E-83,0,49,2646,0,0,20,0,0,0,1,1,0,0,0,0,0,0,28.013171619626664,52.797001530940115,19.189826849433224,0,20,0,15,0,0,127,0,-1,41,0,5,0,0,1,185,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.80006659871762,-1.3834504533082708]}"
18_00000000000000001a1b_0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1.4667243,29.539768,48.560886,55.54997,47.06743,27.014471,0,0,5,0,0,3,3,1976,0,121,4,106.548996,0,10.65,8.63,100,54,32,6.15,37,0,131.979,ctb0667-A-E-89,-2,72,3906,1,0,20,0,0,0,1,1,0,0,0,0,0,0,32.7918182679913,34.578829063925824,32.62935266808287,0,20,0,14,1,0,138,0,-7,44,0,11,1,0,2,165,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.54997562361875,-1.4667242801461509]}"
18_00000000000000001a1c_0,1,0,0,0,0,0,0,33,0,0,0,0,1,0,0,1,0,0,1.5834154,29.65722,48.64905,55.583385,47.036793,26.93104,0,0,11,0,0,2,1,1976,0,122,5,128.2769,0,39.77,12.06,90,35,39,5.15,-16,-4,185.25691,ctb0667-A-E-9,0,151,1968,0,0,20,0,0,0,1,1,0,0,0,0,0,0,15.280231661953128,77.77957027592527,6.940198062121597,0,20,0,14,0,0,168,0,1,49,0,5,0,0,1,152,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.58339295218799,-1.5834154355532757]}"
18_00000000000000001a21_0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,1.6165633,29.405758,48.192482,55.033348,46.54648,26.622519,0,0,4,0,0,1,2,1976,0,121,7,45.59,0,4.559,3.69279,88,72,29,2.63258,-38,-2,56.47437,ctb0667-A-E-95,0,38,2891,1,0,20,0,0,0,1,1,0,0,0,0,0,0,12.52569720126863,65.74394138736301,21.730361411368353,0,20,1,14,-1,0,139,0,0,42,0,5,0,0,1,146,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.03335450372161,-1.616563269537286]}"
18_00000000000000001a22_0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1.3333244,29.577631,48.75116,55.84992,47.393513,27.281979,0,0,3,0,0,1,4,1976,0,122,6,78.49,0,24.3319,7.37806,96,56,26,3.14962,23,11,113.34958,ctb0667-A-E-96,2,29,2393,0,0,20,0,0,0,1,1,0,0,0,0,0,0,17.72724869189533,54.45892286195703,27.813828446147653,0,20,1,14,0,0,122,0,0,41,0,7,0,0,2,163,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.84992309698626,-1.333324460454401]}"
18_00000000000000001a24_0,1,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1.5667068,29.447624,48.31046,55.199898,46.715214,26.750212,0,0,4,0,0,3,3,1976,0,121,8,92.59,0,9.259,7.49979,99,56,29,5.34658,-30,4,114.69537,ctb0667-A-E-98,0,32,2579,0,0,20,0,0,0,1,1,0,0,0,0,0,0,14.562130786455288,56.97864718996652,28.459222023578196,0,20,0,12,-3,0,136,0,-2,43,0,11,0,0,3,139,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.199902157397375,-1.5667067712686542]}"
18_00000000000000001a25_0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1.6001241,29.603695,48.542732,55.449986,46.913464,26.848753,0,0,5,0,0,2,1,1976,0,126,5,106.548996,0,10.65,8.63,87,52,37,6.15,-13,-7,131.979,ctb0667-A-E-99,4,79,2229,0,0,20,0,0,0,1,1,0,0,0,0,0,0,24.853462190672662,55.65669626448783,19.489841544839507,0,20,0,19,-2,0,154,0,-3,45,0,16,0,0,5,275,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.449993132496246,-1.600124099837899]}"
18_00000000000000001aaf_0,1,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3.1332788,-28.380148,-50.95349,-61.050102,-54.143208,-33.77366,0,0,4,1,0,0,8,1976,0,132,5,2.82,0,9.4188,0.083472,159,112,36,0.198168,-11,5,12.52044,ctb0673-28-EXTRA,1,116,1386,2,20,0,0,0,0,1,1,0,0,0,0,0,0,13.824847231244991,78.44318265989192,7.731970108863086,0,20,0,12,0,0,143,0,0,52,0,4,0,0,1,128,1,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.05009061369734,3.1332787952446832]}"
18_00000000000000001ab4_0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,3.6666086,-27.946468,-50.72492,-61.09996,-54.45761,-34.2581,0,0,3,1,0,1,6,1976,0,134,6,28.67,0,95.7578,0.848632,120,73,52,2.014708,45,2,127.29114,ctb0673-32-EXTRA,0,98,1057,0,20,0,0,0,0,1,1,0,0,0,0,0,0,11.032123405223492,81.47890442560194,7.488972169174556,0,20,1,9,1,0,158,0,-1,52,0,4,0,0,1,162,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.099947111965974,3.666608579426444]}"
18_00000000000000001ac4_0,1,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,3.1834047,-28.294476,-50.856068,-60.96656,-54.096813,-33.774277,0,0,4,0,0,3,4,1976,0,129,7,10.34,0,34.5356,0.306064,112,116,38,0.726616,40,22,45.90828,ctb0673-46-EXTRA,-3,117,2274,4,20,0,0,0,0,1,1,0,0,0,0,0,0,29.217517465078373,57.36448422903554,13.417998305886092,0,20,2,10,1,0,158,0,-1,52,0,9,2,0,3,149,1,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.96654729227423,3.183404788098553]}"
18_00000000000000001ac5_0,1,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,3.2001135,-28.415905,-51.077206,-61.23336,-54.334965,-33.92447,0,0,7,0,0,1,3,1976,0,129,5,29.14,0,97.3276,0.862544,141,85,28,2.047736,-3,-8,129.37788,ctb0673-47-EXTRA,1,120,3112,0,0,20,0,0,0,1,1,0,0,0,0,0,0,18.384061065295704,70.13529018539386,11.480648749310433,0,20,0,13,1,0,131,0,1,52,0,6,0,0,2,166,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.23334693165772,3.2001134523831762]}"
18_000000000000000015dd_0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,3,1,24.700392,46.71305,55.611103,50.000454,30.463818,4.1913433,0,0,1,0,0,29,3,1976,20,106,20,0.72,0,4.64,0.78,227,46,28,2.85,38,20,8.99,ctb0631-PC-139,0,984,8919,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49.80704481676384,10.21164451926627,39.98131066396988,20,0,0,30,1,0,142,0,0,54,0,4,0,0,1,317,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.00054312444199,-24.700391462499805]}"
18_00000000000000000ef1_0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,1,1,25.398922,48.10627,57.305817,51.556244,31.447365,4.3820415,0,0,0,0,0,7,0,1976,20,100,67,0.72,0,4.64,0.78,183,42,52,2.85,-4,-21,8.99,ctb0064-6776,3,999,6217,0,0,0,0,0,1,0,0,1,0,0,0,0,1,69.03301107259438,5.71874640674566,25.248242520659957,0,0,0,32,9,0,206,20,-1,50,0,25,0,0,10,303,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.55633536500859,-25.39892142743115]}"
18_000000000000000013fa_0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,14,1,11.06666,28.640024,37.95418,37.549854,26.687243,9.588679,0,0,3,0,0,4,6,1976,20,131,9,12.54,0,25.59,0.13,118,111,55,1.52,-27,-20,39.79,ctb0607-PERFIL-1,-7,145,3595,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25.902674083524925,57.628762595463556,16.468563321011523,0,0,1,12,-5,0,165,20,2,54,0,26,0,0,9,176,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.54989328654542,-11.06666039541783]}"
18_000000000000000013fb_0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,5,1,10.350075,27.69234,37.02991,36.899834,26.492517,9.874594,0,0,2,0,0,12,6,1976,20,136,18,55.88,0,11.7,2.98,161,132,50,2.68,-12,-13,73.24,ctb0607-PERFIL-10,5,124,3241,2,0,0,0,0,0,1,0,0,1,0,0,0,0,17.82169552570452,59.78631175118881,22.391992723106664,0,0,6,11,-3,0,176,20,2,56,0,18,2,0,6,172,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.899872346956535,-10.350074293275686]}"
18_00000000000000001419_0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,6,1,10.983387,28.483566,37.76844,37.383305,26.586277,9.575579,0,0,2,0,0,4,6,1976,20,132,8,12.54,0,25.59,0.13,110,113,56,1.52,-28,-13,39.79,ctb0607-PERFIL-30,0,104,3309,6,0,0,0,0,0,1,1,0,0,0,0,0,0,20.344908131567824,54.003916865802736,25.651175002629444,0,0,10,12,-7,0,193,20,-2,53,0,20,6,0,7,163,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.38334563286966,-10.983386568579949]}"
18_00000000000000001422_0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,9,1,10.283239,27.617939,36.967358,36.866688,26.498009,9.915248,0,0,1,0,0,11,8,1976,20,137,9,55.88,0,11.7,2.98,169,108,57,2.68,-31,-21,73.24,ctb0607-PERFIL-41,4,108,4450,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21.24593783532001,58.91261182023276,19.841450344447235,0,0,0,12,2,0,168,20,7,58,0,25,0,0,7,190,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.866724512972525,-10.283239636137196]}"
18_0000000000000000142a_0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,7,1,11.416734,29.07716,38.36203,37.81665,26.738684,9.423166,0,0,2,0,0,6,4,1976,20,137,7,63.07,0,14.82,2.98,157,78,42,3.03,-21,1,83.9,ctb0607-PERFIL-5,0,177,4742,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20.187473431537228,64.95890724232054,14.853619326142237,0,0,-6,11,0,0,146,20,0,56,0,1,-2,0,0,178,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.81669292592892,-11.416733861639209]}"
18_00000000000000001432_0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0,7,1,11.216769,28.692953,37.901623,37.400013,26.481857,9.383201,0,0,6,0,0,2,5,1976,0,130,6,12.54,0,25.59,0.13,132,110,58,1.52,-31,-27,39.79,ctb0607-PERFIL-57,-13,97,3444,0,20,0,0,0,0,1,0,0,1,0,0,0,0,20.325175822774654,61.78632592498287,17.888498252242474,0,20,1,14,-2,0,156,0,-1,53,0,38,0,0,14,215,0,1976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.400054297154284,-11.216768879394202]}"
